,price_x,type_x,address_x,url,agent_url,number_bedrooms,District Name,Latitude,Longitude,Latitude_a,Longitude_a,county,Postcode_complete,suburb,Cluster Label,address,price_y,type_y,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
14,635,3 bedroom house share,"Bethune Road, London, N16",http://www.rightmove.co.uk/property-to-rent/property-75484303.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,3.0,Stoke Newington,37.1289771,-84.0832646,51.5741988,-0.0834925,London Borough of Hackney,N16 5DY,Stamford Hill,6,"Bethune Road, London, N16",635,3 bedroom house share,Train Station,Performing Arts Venue,Nature Preserve,Park,Café,Grocery Store,Hostel,Hotel,Zoo Exhibit,Film Studio,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Fish & Chips Shop,Fabric Shop,Fish Market,Flea Market
15,2300,2 bedroom flat,"The Residence, 10 Charles Clowes Walk, London, SW11",http://www.rightmove.co.uk/property-to-rent/property-66828240.html,http://www.rightmove.co.uk/estate-agents/agent/Marc-and-Partners/Chiswick-201956.html,2.0,Head district,51.4893335,-0.1440551,51.4747,-0.1555,,SW11,,1,"The Residence, 10 Charles Clowes Walk, London, SW11",2300,2 bedroom flat,Chinese Restaurant,Bar,Soccer Field,Café,Gymnastics Gym,Coffee Shop,Flea Market,Playground,Art Gallery,Pizza Place,Sports Bar,Garden,Burger Joint,Bus Stop,Italian Restaurant,Food Truck,Filipino Restaurant,Farm,Farmers Market,Fast Food Restaurant
16,2579,1 bedroom flat,"Britton Street, Clerkenwell, London, EC1M",http://www.rightmove.co.uk/property-to-rent/property-87204653.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Clerkenwell-73120.html,1.0,,,,51.520983,-0.1034531,London Borough of Islington,EC1,Clerkenwell,1,"Britton Street, Clerkenwell, London, EC1M",2579,1 bedroom flat,Pub,Food Truck,Coffee Shop,Café,French Restaurant,Hotel,Falafel Restaurant,Gym / Fitness Center,Italian Restaurant,Wine Bar,Burrito Place,Vietnamese Restaurant,Beer Bar,Sushi Restaurant,Bar,Deli / Bodega,Modern European Restaurant,Salad Place,Sandwich Place,Tea Room
17,3250,1 bedroom flat,"Britton Street, Clerkenwell, London, EC1M",http://www.rightmove.co.uk/property-to-rent/property-87204650.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Clerkenwell-73120.html,1.0,,,,51.520983,-0.1034531,London Borough of Islington,EC1,Clerkenwell,1,"Britton Street, Clerkenwell, London, EC1M",3250,1 bedroom flat,Pub,Food Truck,Coffee Shop,Café,French Restaurant,Hotel,Falafel Restaurant,Gym / Fitness Center,Italian Restaurant,Wine Bar,Burrito Place,Vietnamese Restaurant,Beer Bar,Sushi Restaurant,Bar,Deli / Bodega,Modern European Restaurant,Salad Place,Sandwich Place,Tea Room
18,4312,3 bedroom flat,"The Landmark, Canary Wharf, London, E14",http://www.rightmove.co.uk/property-to-rent/property-87204641.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Canary-Wharf-48101.html,3.0,Poplar,51.514947,-0.0930461,51.5062,-0.0196,,E14,,1,"The Landmark, Canary Wharf, London, E14",4312,3 bedroom flat,Coffee Shop,Park,Café,Italian Restaurant,Sandwich Place,Burger Joint,Plaza,Gym / Fitness Center,Sushi Restaurant,Bakery,Street Food Gathering,Pizza Place,Shopping Mall,Bookstore,Spanish Restaurant,Smoothie Shop,Spa,Mexican Restaurant,Fish Market,Fried Chicken Joint
19,2850,4 bedroom property,"Alexandra Road, SW19",http://www.rightmove.co.uk/property-to-rent/property-86967128.html,http://www.rightmove.co.uk/estate-agents/agent/Winchester-White/Wimbledon-51465.html,4.0,Wimbledon,51.5073219,-0.1276474,51.4218244,-0.2070245,London Borough of Merton,SW19,Wimbledon Village,1,"Alexandra Road, SW19",2850,4 bedroom property,Pub,Coffee Shop,Bar,Sushi Restaurant,Clothing Store,Burger Joint,Grocery Store,Sandwich Place,Italian Restaurant,Supermarket,Indian Restaurant,Restaurant,Outdoor Supply Store,Optical Shop,Bookstore,Thai Restaurant,Theater,Electronics Store,Gift Shop,Department Store
20,2059,2 bedroom flat,"Kensington High Street, High Street Kensington, London, W14",http://www.rightmove.co.uk/property-to-rent/property-66828231.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Notting-Hill-15945.html,2.0,West Kensington,51.5073219,-0.1276474,51.5010046,-0.1933006,Royal Borough of Kensington and Chelsea,W8 4SN,Earl's Court,2,"Kensington High Street, High Street Kensington, London, W14",2059,2 bedroom flat,Café,Hotel,Pub,Italian Restaurant,Restaurant,Clothing Store,French Restaurant,Breakfast Spot,English Restaurant,Chinese Restaurant,Garden,Modern European Restaurant,Art Gallery,Burger Joint,Grocery Store,Gym / Fitness Center,Juice Bar,Indian Restaurant,Cupcake Shop,Spa
21,5417,3 bedroom flat,"Oxford Gardens, North Kensington, London, W10",http://www.rightmove.co.uk/property-to-rent/property-66828228.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Notting-Hill-15945.html,3.0,North Kensington,51.5073219,-0.1276474,51.5191058,-0.2098494,Royal Borough of Kensington and Chelsea,W10 5LZ,North Kensington,1,"Oxford Gardens, North Kensington, London, W10",5417,3 bedroom flat,Italian Restaurant,Café,Bakery,Juice Bar,Fish & Chips Shop,Pub,Bar,Pizza Place,Cocktail Bar,Skate Park,Turkish Restaurant,Street Food Gathering,Coffee Shop,Breakfast Spot,Bookstore,Boxing Gym,Gym / Fitness Center,Thrift / Vintage Store,Tea Room,Historic Site
22,750,Studio flat,"Sovereign Close, Ealing, London, W5",http://www.rightmove.co.uk/property-to-rent/property-66828207.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Ealing-15969.html,0.0,Ealing,42.988576,-81.246643,51.5225119,-0.3130376,London Borough of Ealing,W5 1DD,Perivale,4,"Sovereign Close, Ealing, London, W5",750,Studio flat,Park,Pizza Place,Grocery Store,Wine Shop,Fast Food Restaurant,Greek Restaurant,Coffee Shop,Bakery,Pharmacy,Indian Restaurant,Middle Eastern Restaurant,American Restaurant,Pub,Chinese Restaurant,Bus Stop,Field,Farm,Falafel Restaurant,Farmers Market,Zoo Exhibit
23,1300,1 bedroom flat,"Jarrow Way, Homerton, London, E9",http://www.rightmove.co.uk/property-to-rent/property-66828198.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Hackney-101522.html,1.0,Homerton,51.514947,-0.0930461,51.5522629,-0.0323247,London Borough of Hackney,E9 5PL,Homerton,6,"Jarrow Way, Homerton, London, E9",1300,1 bedroom flat,Park,Playground,Forest,Café,Bistro,Athletics & Sports,Zoo Exhibit,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Flea Market,Fish Market,Fabric Shop,Flower Shop,Food
24,2850,3 bedroom house,"Clifden Mews, Clapton, London, E5",http://www.rightmove.co.uk/property-to-rent/property-66828171.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Hackney-101522.html,3.0,Clapton,51.514947,-0.0930461,51.564,-0.0581,,E5,,4,"Clifden Mews, Clapton, London, E5",2850,3 bedroom house,Grocery Store,Pub,Convenience Store,Dance Studio,Pizza Place,Café,Gym / Fitness Center,English Restaurant,Breakfast Spot,Turkish Restaurant,Field,Fast Food Restaurant,Farmers Market,Filipino Restaurant,Farm,Film Studio,Fish & Chips Shop,Flower Shop,Fish Market,Flea Market
25,1350,1 bedroom apartment,"Becklow Road, London, W12",http://www.rightmove.co.uk/property-to-rent/property-70305448.html,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Ford-and-Co/Kings-Cross---Lettings-81565.html,1.0,Shepherds Bush,51.5073219,-0.1276474,51.5061239,-0.2410151,London Borough of Hammersmith and Fulham,W12 9DH,Brook Green,4,"Becklow Road, London, W12",1350,1 bedroom apartment,Grocery Store,Café,Fast Food Restaurant,Gastropub,Bakery,Pub,Coffee Shop,Deli / Bodega,Fish & Chips Shop,Pizza Place,Hotel,Thai Restaurant,Convenience Store,Moroccan Restaurant,Bus Stop,Indian Restaurant,Wine Shop,Mediterranean Restaurant,African Restaurant,Japanese Restaurant
26,2579,3 bedroom flat,"Abbey Road, West Hampstead, London, NW6",http://www.rightmove.co.uk/property-to-rent/property-84934376.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/West-Hampstead-137372.html,3.0,Kilburn,41.332052,19.8048247,51.5409873,-0.1896081,London Borough of Camden,NW6 3NE,South Hampstead,19,"Abbey Road, West Hampstead, London, NW6",2579,3 bedroom flat,Grocery Store,Gym / Fitness Center,Pub,Fast Food Restaurant,Clothing Store,Indian Restaurant,Bakery,Supermarket,Café,Pizza Place,Brazilian Restaurant,Theme Restaurant,Turkish Restaurant,Pet Store,Hotel,French Restaurant,Gastropub,Czech Restaurant,Discount Store,Falafel Restaurant
27,1950,2 bedroom flat,"Buchanan Gardens, Kensal Rise, London, NW10",http://www.rightmove.co.uk/property-to-rent/property-66827952.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Willesden-Green-71401.html,2.0,Willesden,51.5346213,-0.2585842,51.5307,-0.2253,,NW10,,19,"Buchanan Gardens, Kensal Rise, London, NW10",1950,2 bedroom flat,Train Station,Bakery,Pub,Brazilian Restaurant,Portuguese Restaurant,Zoo Exhibit,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Flower Shop,Flea Market,Exhibit,Food
28,2275,2 bedroom flat,"Aylestone Avenue, Brondesbury Park, London, NW6",http://www.rightmove.co.uk/property-to-rent/property-66827949.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Willesden-Green-71401.html,2.0,Kilburn,41.332052,19.8048247,51.5433,-0.1839,,NW6,,5,"Aylestone Avenue, Brondesbury Park, London, NW6",2275,2 bedroom flat,Café,Grocery Store,Coffee Shop,Italian Restaurant,Wine Bar,Malay Restaurant,Persian Restaurant,Bakery,Gym,Asian Restaurant,Sushi Restaurant,Supermarket,Stationery Store,Dessert Shop,Forest,Farmers Market,Fast Food Restaurant,Fried Chicken Joint,Field,French Restaurant
29,4312,2 bedroom flat,"Southwark Park Road, London Bridge, London, SE16",http://www.rightmove.co.uk/property-to-rent/property-87204527.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/London-Bridge-55101.html,2.0,Rotherhithe,51.4893335,-0.1440551,51.4935,-0.048,,SE16,,1,"Southwark Park Road, London Bridge, London, SE16",4312,2 bedroom flat,Pizza Place,Café,Clothing Store,Pharmacy,Convenience Store,Platform,Supermarket,Bus Stop,Bowling Alley,Gym / Fitness Center,Gym Pool,Men's Store,Electronics Store,Fast Food Restaurant,Train Station,Mobile Phone Shop,Coffee Shop,Locksmith,Health & Beauty Service,Bar
